arch_config,gpu latency,flops,params,top1
"{'wid': None, 'ks': [3, 3, 3, 7, 7, 5, 3, 5, 7, 5, 7, 3, 3, 5, 3, 3, 7, 3, 3, 5], 'e': [3, 3, 6, 6, 3, 4, 3, 4, 4, 6, 3, 3, 4, 3, 6, 3, 3, 3, 6, 3], 'd': [2, 2, 3, 2, 2], 'r': [224]}",25.8508,240157376,4854536,76.875
"{'wid': None, 'ks': [7, 3, 3, 7, 5, 5, 5, 3, 3, 7, 7, 7, 7, 5, 3, 5, 7, 5, 7, 7], 'e': [4, 3, 6, 3, 6, 6, 6, 4, 4, 3, 6, 6, 4, 6, 4, 6, 3, 6, 6, 6], 'd': [2, 2, 3, 2, 3], 'r': [160]}",18.8097,181519136,7231000,74.47916667
"{'wid': None, 'ks': [7, 3, 7, 5, 5, 7, 5, 3, 3, 5, 3, 5, 7, 5, 7, 5, 3, 3, 3, 7], 'e': [4, 4, 4, 6, 6, 6, 4, 4, 6, 4, 4, 6, 3, 4, 6, 3, 4, 6, 4, 4], 'd': [2, 2, 3, 2, 3], 'r': [176]}",20.7329,212818528,6381160,76.875
"{'wid': None, 'ks': [7, 3, 3, 3, 7, 3, 5, 7, 3, 7, 7, 7, 7, 5, 5, 5, 5, 3, 3, 3], 'e': [4, 3, 6, 4, 6, 3, 6, 4, 4, 3, 6, 3, 6, 6, 4, 4, 6, 3, 4, 6], 'd': [2, 2, 3, 2, 3], 'r': [192]}",24.6405,252534720,6410128,78.33333333
"{'wid': None, 'ks': [5, 7, 7, 7, 5, 7, 7, 5, 3, 3, 5, 7, 7, 5, 3, 7, 7, 5, 3, 3], 'e': [4, 3, 3, 4, 6, 3, 6, 4, 4, 6, 3, 4, 4, 4, 6, 6, 4, 6, 4, 4], 'd': [2, 2, 3, 2, 3], 'r': [208]}",28.1439,282438816,6431648,78.54166667
"{'wid': None, 'ks': [7, 5, 3, 3, 7, 7, 3, 3, 3, 7, 5, 7, 3, 3, 7, 5, 7, 7, 5, 5], 'e': [6, 4, 4, 3, 6, 6, 3, 4, 3, 3, 3, 6, 3, 3, 3, 4, 3, 3, 3, 3], 'd': [2, 2, 3, 2, 3], 'r': [224]}",35.3746,324843072,5225192,75.9375
"{'wid': None, 'ks': [3, 3, 7, 5, 5, 5, 3, 3, 7, 3, 3, 5, 3, 7, 3, 3, 3, 5, 3, 3], 'e': [3, 4, 3, 6, 3, 4, 3, 6, 6, 3, 3, 3, 3, 4, 3, 4, 3, 6, 4, 6], 'd': [2, 2, 3, 2, 4], 'r': [160]}",15.3923,151643040,7308240,74.6875
"{'wid': None, 'ks': [3, 7, 3, 7, 5, 5, 5, 7, 7, 3, 5, 5, 7, 7, 3, 3, 5, 7, 3, 3], 'e': [3, 3, 6, 3, 3, 6, 6, 3, 3, 4, 4, 4, 6, 4, 4, 4, 4, 3, 6, 3], 'd': [2, 2, 3, 2, 4], 'r': [176]}",20.7214,202862960,6770704,76.14583333
"{'wid': None, 'ks': [5, 5, 5, 7, 5, 5, 5, 3, 7, 3, 5, 7, 3, 3, 5, 5, 5, 5, 5, 5], 'e': [4, 4, 4, 4, 3, 3, 3, 6, 6, 6, 3, 6, 3, 3, 6, 3, 6, 3, 4, 3], 'd': [2, 2, 3, 2, 4], 'r': [192]}",22.1646,223663296,6205832,76.77083333
"{'wid': None, 'ks': [5, 7, 5, 3, 7, 7, 7, 7, 7, 7, 5, 3, 5, 5, 7, 3, 5, 7, 3, 3], 'e': [6, 3, 3, 6, 3, 3, 4, 4, 4, 6, 4, 6, 3, 3, 6, 3, 3, 4, 4, 4], 'd': [2, 2, 3, 2, 4], 'r': [208]}",29.5624,289508512,6261696,77.8125
"{'wid': None, 'ks': [3, 5, 5, 3, 3, 7, 7, 7, 5, 7, 5, 7, 3, 3, 3, 3, 3, 3, 5, 3], 'e': [3, 3, 6, 3, 3, 4, 6, 6, 6, 4, 6, 3, 4, 4, 4, 3, 3, 3, 4, 3], 'd': [2, 2, 3, 2, 4], 'r': [224]}",29.1753,287515872,5980648,78.02083333
"{'wid': None, 'ks': [3, 7, 3, 5, 7, 7, 3, 5, 7, 3, 5, 5, 5, 7, 7, 7, 5, 5, 3, 5], 'e': [3, 4, 6, 6, 3, 6, 6, 3, 4, 3, 4, 6, 3, 3, 4, 6, 6, 6, 6, 4], 'd': [2, 2, 3, 3, 2], 'r': [160]}",18.3972,169499664,6270920,75.41666667
"{'wid': None, 'ks': [3, 5, 5, 5, 5, 3, 3, 5, 3, 5, 3, 5, 7, 5, 5, 5, 3, 3, 3, 5], 'e': [4, 3, 3, 4, 4, 4, 4, 6, 3, 4, 6, 4, 6, 6, 6, 6, 6, 4, 4, 4], 'd': [2, 2, 3, 3, 2], 'r': [176]}",21.0334,225837104,6559496,76.97916667
"{'wid': None, 'ks': [3, 7, 3, 7, 3, 3, 7, 5, 5, 5, 3, 7, 5, 5, 7, 7, 3, 7, 3, 5], 'e': [4, 4, 3, 6, 3, 6, 3, 6, 6, 6, 6, 6, 4, 3, 6, 6, 4, 6, 4, 6], 'd': [2, 2, 3, 3, 2], 'r': [192]}",25.9451,266748032,6428568,78.33333333
"{'wid': None, 'ks': [5, 5, 3, 3, 3, 7, 3, 5, 3, 3, 3, 7, 7, 5, 3, 5, 3, 3, 7, 7], 'e': [6, 3, 4, 3, 4, 4, 4, 6, 4, 6, 6, 4, 3, 3, 4, 4, 3, 4, 3, 6], 'd': [2, 2, 3, 3, 2], 'r': [208]}",27.9125,284848448,5350088,79.27083333
"{'wid': None, 'ks': [7, 5, 7, 7, 7, 5, 3, 3, 3, 5, 7, 7, 7, 5, 5, 3, 3, 3, 7, 3], 'e': [4, 6, 3, 6, 4, 3, 6, 6, 4, 4, 6, 6, 3, 4, 6, 4, 3, 6, 3, 4], 'd': [2, 2, 3, 3, 2], 'r': [224]}",35.4132,363443616,6242792,79.16666667
"{'wid': None, 'ks': [3, 3, 5, 5, 5, 7, 3, 7, 7, 7, 5, 5, 7, 5, 7, 5, 5, 7, 3, 7], 'e': [6, 6, 6, 4, 4, 3, 4, 3, 3, 3, 3, 4, 4, 3, 3, 4, 4, 4, 3, 4], 'd': [2, 2, 3, 3, 3], 'r': [160]}",17.6981,169927008,5756600,75.41666667
"{'wid': None, 'ks': [3, 3, 3, 3, 7, 3, 3, 3, 3, 7, 5, 3, 5, 5, 7, 5, 7, 5, 3, 5], 'e': [4, 4, 6, 3, 4, 3, 6, 4, 4, 4, 4, 4, 4, 6, 4, 6, 6, 4, 4, 3], 'd': [2, 2, 3, 3, 3], 'r': [176]}",20.1254,221996304,6763928,77.08333333
"{'wid': None, 'ks': [7, 5, 7, 7, 7, 5, 7, 5, 7, 7, 3, 7, 7, 3, 7, 5, 3, 5, 7, 7], 'e': [3, 4, 4, 6, 4, 6, 6, 4, 4, 4, 3, 3, 3, 3, 4, 3, 4, 4, 4, 6], 'd': [2, 2, 3, 3, 3], 'r': [192]}",24.3498,240029568,6078024,78.125
